Ticker,Signal,Prix Actuel,Taille (Shares),Stop Loss,Confiance,Risque ($),ATR (14j)
GBPUSD=X,SELL,1.3023,767,1.2937,43.40%,8.68,0.00330
USDCHF=X,BUY,0.8091,1235,0.8029,70.73%,14.15,0.00381
EURGBP=X,BUY,0.8820,1133,0.8779,49.03%,9.81,0.00234
EURJPY=X,BUY,176.5430,5,175.2322,46.67%,9.33,0.00371
